Products,Avg_Price_per_unit,Cost_per_unit,Average_Profit_per_unit,Average_units_sold,Incremental_acquisition,Increase_sale_volume,Opt_Price
Product 1,95,92,2.8,0.6,0.00323,0.08906,-0.1
Product 2,37,27,10.0,0.8,0.00106,0.01991,-0.1
Product 3,34,26,8.5,0.6,0.00328,0.03778,-0.1
Product 4,32,30,2.8,0.7,0.0,0.08562,0.2
Product 5,62,45,16.0,1.0,0.00079,0.026369999999999998,0.2
Product 6,86,78,8.2,0.9,0.0,0.01859,0.2
Product 7,105,77,28.1,1.9,0.0,0.05527000000000001,0.2
Product 8,84,67,16.3,0.9,0.00282,0.06723,-0.1
Product 9,69,53,16.5,1.8,0.00484,0.02963,-0.1
Product 10,108,94,14.3,1.0,0.0,0.03812,0.2
Product 11,84,75,9.4,0.6,0.0011099999999999999,0.09749,-0.1
Product 12,105,99,5.9,3.0,0.0,0.03766,0.2
Product 13,32,29,2.4,0.2,0.00351,0.06373999999999999,-0.1
Product 14,49,45,4.1,0.3,0.0003,0.0068200000000000005,-0.1
Product 15,68,53,15.6,2.1,0.0,0.00037,0.2
Product 16,20,16,3.2,2.3,0.00213,0.00763,-0.1
Product 17,105,88,17.6,2.3,0.00132,0.07633999999999999,0.2
Product 18,56,54,1.8,3.0,0.00335,0.06858,-0.04
Product 19,98,72,26.5,0.2,0.0011099999999999999,0.03067,-0.1
Product 20,17,16,0.6,0.2,0.00277,0.08916,-0.1
Product 21,47,39,8.1,0.5,0.00445,0.00216,-0.1
Product 22,97,89,8.0,2.5,0.0026,0.04397,0.2
Product 23,35,31,3.3,0.3,0.0003,0.06301,-0.1
Product 24,108,96,12.4,2.4,0.0,0.06901,0.2
Product 25,47,43,3.6,2.9,0.0,0.09509,0.2
Product 26,55,54,1.1,0.1,0.0,0.04568,0.2
Product 27,91,69,22.3,1.5,0.00147,0.02538,0.2
Product 28,63,60,3.5,1.9,0.00316,0.055229999999999994,-0.1
Product 29,41,39,2.3,1.2,0.0,0.0593,0.2
Product 30,33,32,1.2,2.4,0.002,0.0006799999999999999,-0.1
Product 31,75,68,6.9,1.6,0.0,0.013569999999999999,0.2
Product 32,105,84,21.6,1.2,0.0049700000000000005,0.09661,-0.1
Product 33,20,18,2.2,1.1,0.0034100000000000003,0.01055,-0.1
Product 34,22,19,3.0,2.3,0.0002,0.01383,0.2
Product 35,47,33,14.1,0.8,0.0,0.052360000000000004,0.2
Product 36,50,38,11.9,2.7,0.0,0.07902999999999999,0.2
Product 37,51,36,14.5,0.6,0.0,0.09161,0.2
Product 38,42,34,8.3,1.2,0.0,0.06788,0.2
Product 39,39,29,10.3,0.3,0.0,0.06457,0.2
Product 40,20,19,1.0,2.0,0.0,0.08528999999999999,0.2
Product 41,108,85,23.7,1.2,0.00193,0.08517999999999999,0.03
Product 42,14,13,0.2,1.6,0.00018,0.08138,0.2
Product 43,110,104,6.2,1.2,0.00299,0.0336,-0.1
Product 44,42,30,12.4,2.8,0.00361,0.08734,-0.1
Product 45,46,43,2.2,3.1,0.0,0.014759999999999999,0.2
Product 46,105,101,4.1,0.8,0.00207,0.044469999999999996,-0.1
Product 47,47,47,0.0,3.0,0.00134,0.043210000000000005,0.2
Product 48,98,79,19.2,0.6,0.0,0.058710000000000005,0.2
Product 49,87,63,24.2,0.6,0.0,0.016280000000000003,0.2
Product 50,46,43,3.2,0.7,0.0,0.015609999999999999,0.2
Product 51,73,56,17.5,0.7,0.00062,0.0513,0.2
Product 52,81,57,24.0,0.3,0.0,0.03412,0.2
Product 53,103,81,22.5,1.8,0.0,0.03757,0.2
Product 54,37,32,5.3,2.2,0.0,0.008490000000000001,0.2
Product 55,53,37,15.5,0.2,0.0,0.02214,0.2
Product 56,36,36,0.4,3.0,0.00058,0.09845,0.2
Product 57,110,90,19.5,1.1,0.0008,0.0161,0.2
Product 58,56,43,12.5,0.2,0.00135,0.09483,-0.1
Product 59,11,10,1.0,2.6,0.0,0.047639999999999995,0.2
Product 60,64,61,3.8,2.3,0.0,0.05582,0.2
Product 61,22,19,3.2,1.0,0.00057,0.025939999999999998,-0.1
Product 62,14,12,1.8,2.2,0.0,0.02175,0.2
Product 63,101,91,9.9,1.8,0.0,0.09727000000000001,0.2
Product 64,101,99,2.4,0.8,0.0,0.04033,0.2
Product 65,62,58,3.8,2.0,0.0,0.08179,0.2
Product 66,95,87,7.9,0.7,0.0,0.08628,0.2
Product 67,47,34,12.8,2.1,0.0,0.03027,0.2
Product 68,98,73,25.6,1.9,0.00259,0.0341,0.2
Product 69,78,58,19.9,1.3,0.00367,0.03242,-0.1
Product 70,45,40,4.5,2.2,0.0035299999999999997,0.03872,-0.1
